@relation vsrr-provisional-drug-overdose-death-counts

@attribute State {AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY,YC}
@attribute 'State Name' {AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY,YC}
@attribute Year numeric
@attribute Month {January,February,March,April,May,June,July,August,September,October,November,December}
@attribute Indicator {'Number of Deaths','Number of Drug Overdose Deaths','Cocaine (T40.5)','Heroin (T40.1)','Methadone (T40.3)','Natural & semi-synthetic opioids (T40.2)','Opioids (T40.0-T40.4,T40.6)','Percent with drugs specified','Psychostimulants with abuse potential (T43.6)','Synthetic opioids, excl. methadone (T40.4)'}
@attribute 'Data Value' numeric
@attribute 'Predicted Value' numeric
@attribute 'Percent Complete' numeric
@attribute 'Percent Pending Investigation' numeric
@attribute Footnote {'Underreported due to incomplete data','Jurisdiction-specific values not shown for 2018 due to incomplete cause of death reporting at the time of analysis'}

@data
AK,AK,2016,November,'Number of Deaths',4289,?,100,0.069946,?
AK,AK,2016,December,'Number of Deaths',4355,?,100,0.068886,?
AK,AK,2017,January,'Number of Deaths',4374,?,100,0.068587,'Underreported due to incomplete data'
AK,AK,2017,February,'Number of Deaths',4347,?,100,0.069013,'Underreported due to incomplete data'
AK,AK,2017,March,'Number of Deaths',4359,?,100,0.068823,'Underreported due to incomplete data'
AK,AK,2017,April,'Number of Deaths',4325,?,100,0.069364,'Underreported due to incomplete data'
AK,AK,2017,May,'Number of Deaths',4277,?,100,0.070143,'Underreported due to incomplete data'
AK,AK,2017,June,'Number of Deaths',4276,?,100,0.070159,'Underreported due to incomplete data'
AK,AK,2017,July,'Number of Deaths',4237,?,100,0.070805,'Underreported due to incomplete data'
AK,AK,2017,August,'Number of Deaths',4235,?,100,0.047226,'Underreported due to incomplete data'
AK,AK,2017,September,'Number of Deaths',4300,?,100,0.023256,'Underreported due to incomplete data'
AK,AK,2017,October,'Number of Deaths',4284,?,100,0,'Underreported due to incomplete data'
AK,AK,2017,November,'Number of Deaths',4309,?,100,0,'Underreported due to incomplete data'
AK,AK,2017,December,'Number of Deaths',4280,?,100,0,'Underreported due to incomplete data'
AK,AK,2018,January,'Number of Deaths',4260,?,100,0,'Underreported due to incomplete data'
AK,AK,2018,February,'Number of Deaths',4304,?,100,0,'Underreported due to incomplete data'
AK,AK,2018,March,'Number of Deaths',4285,?,100,0,'Underreported due to incomplete data'
AK,AK,2018,April,'Number of Deaths',4338,?,100,0,'Underreported due to incomplete data'
AK,AK,2015,January,'Number of Drug Overdose Deaths',126,127,100,0,?
AK,AK,2015,February,'Number of Drug Overdose Deaths',127,128,100,0,?
AK,AK,2015,March,'Number of Drug Overdose Deaths',125,126,100,0,?
AK,AK,2015,April,'Number of Drug Overdose Deaths',126,127,100,0,?
AK,AK,2015,May,'Number of Drug Overdose Deaths',125,126,100,0,?
AK,AK,2015,June,'Number of Drug Overdose Deaths',121,122,100,0,?
AK,AK,2015,July,'Number of Drug Overdose Deaths',117,118,100,0,?
AK,AK,2015,August,'Number of Drug Overdose Deaths',124,125,100,0,?
AK,AK,2015,September,'Number of Drug Overdose Deaths',125,126,100,0,?
AK,AK,2015,October,'Number of Drug Overdose Deaths',120,121,100,0,?
AK,AK,2015,November,'Number of Drug Overdose Deaths',115,116,100,0,?
AK,AK,2015,December,'Number of Drug Overdose Deaths',121,122,100,0,?
AK,AK,2016,January,'Number of Drug Overdose Deaths',126,127,100,0,?
AK,AK,2016,February,'Number of Drug Overdose Deaths',128,129,100,0,?
AK,AK,2016,March,'Number of Drug Overdose Deaths',125,126,100,0,?
AK,AK,2016,April,'Number of Drug Overdose Deaths',132,133,100,0,?
AK,AK,2016,May,'Number of Drug Overdose Deaths',140,141,100,0,?
AK,AK,2016,June,'Number of Drug Overdose Deaths',138,139,100,0,?
AK,AK,2016,July,'Number of Drug Overdose Deaths',143,144,100,0,?
AK,AK,2016,August,'Number of Drug Overdose Deaths',138,140,100,0.023386,?
AK,AK,2016,September,'Number of Drug Overdose Deaths',131,133,100,0.046992,?
AK,AK,2016,October,'Number of Drug Overdose Deaths',131,134,100,0.069914,?
AK,AK,2016,November,'Number of Drug Overdose Deaths',133,136,100,0.069946,?
AK,AK,2016,December,'Number of Drug Overdose Deaths',129,131,100,0.068886,?
AK,AK,2017,January,'Number of Drug Overdose Deaths',126,127,100,0.068587,'Underreported due to incomplete data'
AK,AK,2017,February,'Number of Drug Overdose Deaths',124,126,100,0.069013,'Underreported due to incomplete data'
AK,AK,2017,March,'Number of Drug Overdose Deaths',126,128,100,0.068823,'Underreported due to incomplete data'
AK,AK,2017,April,'Number of Drug Overdose Deaths',117,119,100,0.069364,'Underreported due to incomplete data'
AK,AK,2017,May,'Number of Drug Overdose Deaths',120,122,100,0.070143,'Underreported due to incomplete data'
AK,AK,2017,June,'Number of Drug Overdose Deaths',122,124,100,0.070159,'Underreported due to incomplete data'
AK,AK,2017,July,'Number of Drug Overdose Deaths',128,131,100,0.070805,'Underreported due to incomplete data'
AK,AK,2017,August,'Number of Drug Overdose Deaths',137,140,100,0.047226,'Underreported due to incomplete data'
AK,AK,2017,September,'Number of Drug Overdose Deaths',148,150,100,0.023256,'Underreported due to incomplete data'
AK,AK,2017,October,'Number of Drug Overdose Deaths',144,146,100,0,'Underreported due to incomplete data'
AK,AK,2017,November,'Number of Drug Overdose Deaths',138,139,100,0,'Underreported due to incomplete data'
AK,AK,2017,December,'Number of Drug Overdose Deaths',141,141,100,0,'Underreported due to incomplete data'
AK,AK,2018,January,'Number of Drug Overdose Deaths',138,138,100,0,'Underreported due to incomplete data'
AK,AK,2018,February,'Number of Drug Overdose Deaths',138,138,100,0,'Underreported due to incomplete data'
AK,AK,2018,March,'Number of Drug Overdose Deaths',135,135,100,0,'Underreported due to incomplete data'
AK,AK,2018,April,'Number of Drug Overdose Deaths',141,141,100,0,'Underreported due to incomplete data'
AL,AL,2015,January,'Number of Deaths',49543,?,100,0.337081,?
AL,AL,2015,February,'Number of Deaths',50004,?,100,0.323974,?
AL,AL,2015,March,'Number of Deaths',50486,?,100,0.308997,?
AL,AL,2015,April,'Number of Deaths',50565,?,100,0.316424,?
AL,AL,2015,May,'Number of Deaths',50516,?,100,0.318711,?
AL,AL,2015,June,'Number of Deaths',50658,?,100,0.341506,?
AL,AL,2015,July,'Number of Deaths',50841,?,100,0.330442,?
AL,AL,2015,August,'Number of Deaths',50930,?,100,0.331828,?
AL,AL,2015,September,'Number of Deaths',51044,?,100,0.323251,?
AL,AL,2015,October,'Number of Deaths',51091,?,100,0.309252,?
AL,AL,2015,November,'Number of Deaths',51093,?,100,0.293582,?
AL,AL,2015,December,'Number of Deaths',50870,?,100,0.310596,?
AL,AL,2016,January,'Number of Deaths',50534,?,100,0.302766,?
AL,AL,2016,February,'Number of Deaths',50555,?,100,0.28286,?
AL,AL,2016,March,'Number of Deaths',50348,?,100,0.282037,?
AL,AL,2016,April,'Number of Deaths',50391,?,100,0.279812,?
AL,AL,2016,May,'Number of Deaths',50511,?,100,0.283107,?
AL,AL,2016,June,'Number of Deaths',50613,?,100,0.264754,?
AL,AL,2016,July,'Number of Deaths',50683,?,100,0.2782,?
AL,AL,2016,August,'Number of Deaths',50756,?,100,0.264008,?
AL,AL,2016,September,'Number of Deaths',50810,?,100,0.265696,?
AL,AL,2016,October,'Number of Deaths',50869,?,100,0.287012,?
AL,AL,2016,November,'Number of Deaths',51110,?,100,0.275876,?
AL,AL,2016,December,'Number of Deaths',51431,?,100,0.270265,?
AL,AL,2017,January,'Number of Deaths',51652,?,100,0.259428,'Underreported due to incomplete data'
AL,AL,2017,February,'Number of Deaths',51542,?,100,0.256102,'Underreported due to incomplete data'
AL,AL,2017,March,'Number of Deaths',51669,?,100,0.251602,'Underreported due to incomplete data'
AL,AL,2017,April,'Number of Deaths',51796,?,100,0.231678,'Underreported due to incomplete data'
AL,AL,2017,May,'Number of Deaths',51945,?,100,0.213688,'Underreported due to incomplete data'
AL,AL,2017,June,'Number of Deaths',52002,?,100,0.205761,'Underreported due to incomplete data'
AL,AL,2017,July,'Number of Deaths',52037,?,100,0.188328,'Underreported due to incomplete data'
AL,AL,2017,August,'Number of Deaths',52077,?,100,0.184342,'Underreported due to incomplete data'
AL,AL,2017,September,'Number of Deaths',52235,?,100,0.174213,'Underreported due to incomplete data'
AL,AL,2017,October,'Number of Deaths',52272,?,100,0.158785,'Underreported due to incomplete data'
AL,AL,2017,November,'Number of Deaths',52262,?,100,0.162642,'Underreported due to incomplete data'
AL,AL,2017,December,'Number of Deaths',52316,?,100,0.141448,'Underreported due to incomplete data'
AL,AL,2018,January,'Number of Deaths',53112,?,100,0.152508,'Underreported due to incomplete data'
AL,AL,2018,February,'Number of Deaths',53274,?,100,0.163307,'Underreported due to incomplete data'
AL,AL,2018,March,'Number of Deaths',53217,?,100,0.172877,'Underreported due to incomplete data'
AL,AL,2018,April,'Number of Deaths',53226,?,100,0.189757,'Underreported due to incomplete data'
AL,AL,2015,January,'Number of Drug Overdose Deaths',715,761,100,0.337081,?
AL,AL,2015,February,'Number of Drug Overdose Deaths',723,768,100,0.323974,?
AL,AL,2015,March,'Number of Drug Overdose Deaths',733,776,100,0.308997,?
AL,AL,2015,April,'Number of Drug Overdose Deaths',738,783,100,0.316424,?
AL,AL,2015,May,'Number of Drug Overdose Deaths',755,801,100,0.318711,?
AL,AL,2015,June,'Number of Drug Overdose Deaths',756,806,100,0.341506,?
AL,AL,2015,July,'Number of Drug Overdose Deaths',743,790,100,0.330442,?
AL,AL,2015,August,'Number of Drug Overdose Deaths',736,783,100,0.331828,?
AL,AL,2015,September,'Number of Drug Overdose Deaths',744,790,100,0.323251,?
AL,AL,2015,October,'Number of Drug Overdose Deaths',730,773,100,0.309252,?
AL,AL,2015,November,'Number of Drug Overdose Deaths',725,766,100,0.293582,?
AL,AL,2015,December,'Number of Drug Overdose Deaths',720,763,100,0.310596,?
AL,AL,2016,January,'Number of Drug Overdose Deaths',706,747,100,0.302766,?
AL,AL,2016,February,'Number of Drug Overdose Deaths',710,749,100,0.28286,?
AL,AL,2016,March,'Number of Drug Overdose Deaths',681,718,100,0.282037,?
AL,AL,2016,April,'Number of Drug Overdose Deaths',676,712,100,0.279812,?
AL,AL,2016,May,'Number of Drug Overdose Deaths',654,690,100,0.283107,?
AL,AL,2016,June,'Number of Drug Overdose Deaths',674,708,100,0.264754,?
AL,AL,2016,July,'Number of Drug Overdose Deaths',681,718,100,0.2782,?
AL,AL,2016,August,'Number of Drug Overdose Deaths',685,720,100,0.264008,?
AL,AL,2016,September,'Number of Drug Overdose Deaths',695,731,100,0.265696,?
AL,AL,2016,October,'Number of Drug Overdose Deaths',704,743,100,0.287012,?
AL,AL,2016,November,'Number of Drug Overdose Deaths',718,756,100,0.275876,?
AL,AL,2016,December,'Number of Drug Overdose Deaths',740,779,100,0.270265,?
AL,AL,2017,January,'Number of Drug Overdose Deaths',763,794,100,0.259428,'Underreported due to incomplete data'
AL,AL,2017,February,'Number of Drug Overdose Deaths',759,793,100,0.256102,'Underreported due to incomplete data'
AL,AL,2017,March,'Number of Drug Overdose Deaths',794,829,100,0.251602,'Underreported due to incomplete data'
AL,AL,2017,April,'Number of Drug Overdose Deaths',795,828,100,0.231678,'Underreported due to incomplete data'
AL,AL,2017,May,'Number of Drug Overdose Deaths',812,843,100,0.213688,'Underreported due to incomplete data'
AL,AL,2017,June,'Number of Drug Overdose Deaths',804,836,100,0.205761,'Underreported due to incomplete data'
AL,AL,2017,July,'Number of Drug Overdose Deaths',809,841,100,0.188328,'Underreported due to incomplete data'
AL,AL,2017,August,'Number of Drug Overdose Deaths',808,843,100,0.184342,'Underreported due to incomplete data'
AL,AL,2017,September,'Number of Drug Overdose Deaths',800,832,100,0.174213,'Underreported due to incomplete data'
AL,AL,2017,October,'Number of Drug Overdose Deaths',801,829,100,0.158785,'Underreported due to incomplete data'
AL,AL,2017,November,'Number of Drug Overdose Deaths',799,825,100,0.162642,'Underreported due to incomplete data'
AL,AL,2017,December,'Number of Drug Overdose Deaths',807,825,100,0.141448,'Underreported due to incomplete data'
AL,AL,2018,January,'Number of Drug Overdose Deaths',786,803,100,0.152508,'Underreported due to incomplete data'
AL,AL,2018,February,'Number of Drug Overdose Deaths',795,817,100,0.163307,'Underreported due to incomplete data'
AL,AL,2018,March,'Number of Drug Overdose Deaths',777,800,100,0.172877,'Underreported due to incomplete data'
AL,AL,2018,April,'Number of Drug Overdose Deaths',771,797,100,0.189757,'Underreported due to incomplete data'
AR,AR,2015,January,'Number of Deaths',30122,?,100,0.049797,?
AR,AR,2015,February,'Number of Deaths',30332,?,100,0.046156,?
AR,AR,2015,March,'Number of Deaths',30387,?,100,0.046072,?
AR,AR,2015,April,'Number of Deaths',30444,?,100,0.039417,?
AR,AR,2015,May,'Number of Deaths',30602,?,100,0.042481,?
AR,AR,2015,June,'Number of Deaths',30722,?,100,0.042315,?
AR,AR,2015,July,'Number of Deaths',30685,?,100,0.048884,?
AR,AR,2015,August,'Number of Deaths',30884,?,100,0.048569,?
AR,AR,2015,September,'Number of Deaths',30931,?,100,0.061427,?
AR,AR,2015,October,'Number of Deaths',31015,?,100,0.058036,?
AR,AR,2015,November,'Number of Deaths',31007,?,100,0.061276,?
AR,AR,2015,December,'Number of Deaths',30986,?,100,0.071,?
AR,AR,2016,January,'Number of Deaths',30624,?,100,0.071839,?
AR,AR,2016,February,'Number of Deaths',30413,?,100,0.072337,?
AR,AR,2016,March,'Number of Deaths',30421,?,100,0.075606,?
AR,AR,2016,April,'Number of Deaths',30489,?,100,0.078717,?
AR,AR,2016,May,'Number of Deaths',30361,?,100,0.079049,?
AR,AR,2016,June,'Number of Deaths',30434,?,100,0.078859,?
AR,AR,2016,July,'Number of Deaths',30590,?,100,0.075188,?
AR,AR,2016,August,'Number of Deaths',30488,?,100,0.078719,?
AR,AR,2016,September,'Number of Deaths',30540,?,100,0.068762,?
AR,AR,2016,October,'Number of Deaths',30489,?,100,0.075437,?
AR,AR,2016,November,'Number of Deaths',30697,?,100,0.074926,?
AR,AR,2016,December,'Number of Deaths',31028,?,100,0.070904,?
AR,AR,2017,January,'Number of Deaths',31115,?,100,0.073919,'Underreported due to incomplete data'
AR,AR,2017,February,'Number of Deaths',31158,?,100,0.083446,'Underreported due to incomplete data'
AR,AR,2017,March,'Number of Deaths',31311,?,100,0.07665,'Underreported due to incomplete data'
AR,AR,2017,April,'Number of Deaths',31385,?,100,0.07647,'Underreported due to incomplete data'
AR,AR,2017,May,'Number of Deaths',31499,?,100,0.079368,'Underreported due to incomplete data'
AR,AR,2017,June,'Number of Deaths',31558,?,100,0.07605,'Underreported due to incomplete data'
AR,AR,2017,July,'Number of Deaths',31553,?,100,0.076062,'Underreported due to incomplete data'
AR,AR,2017,August,'Number of Deaths',31600,?,100,0.06962,'Underreported due to incomplete data'
AR,AR,2017,September,'Number of Deaths',31722,?,100,0.072505,'Underreported due to incomplete data'
AR,AR,2017,October,'Number of Deaths',31728,?,100,0.069339,'Underreported due to incomplete data'
AR,AR,2017,November,'Number of Deaths',31658,?,100,0.07581,'Underreported due to incomplete data'
AR,AR,2017,December,'Number of Deaths',31827,?,100,0.056556,'Underreported due to incomplete data'
AR,AR,2018,January,'Number of Deaths',32295,?,100,0.058833,'Underreported due to incomplete data'
AR,AR,2018,February,'Number of Deaths',32399,?,100,0.055557,'Underreported due to incomplete data'
AR,AR,2018,March,'Number of Deaths',32198,?,100,0.068327,'Underreported due to incomplete data'
AR,AR,2018,April,'Number of Deaths',32050,?,100,0.068643,'Underreported due to incomplete data'
AR,AR,2015,January,'Number of Drug Overdose Deaths',366,371,100,0.049797,?
AR,AR,2015,February,'Number of Drug Overdose Deaths',366,371,100,0.046156,?
AR,AR,2015,March,'Number of Drug Overdose Deaths',385,390,100,0.046072,?
AR,AR,2015,April,'Number of Drug Overdose Deaths',373,377,100,0.039417,?
AR,AR,2015,May,'Number of Drug Overdose Deaths',383,388,100,0.042481,?
AR,AR,2015,June,'Number of Drug Overdose Deaths',391,396,100,0.042315,?
AR,AR,2015,July,'Number of Drug Overdose Deaths',395,400,100,0.048884,?
AR,AR,2015,August,'Number of Drug Overdose Deaths',398,403,100,0.048569,?
AR,AR,2015,September,'Number of Drug Overdose Deaths',392,398,100,0.061427,?
AR,AR,2015,October,'Number of Drug Overdose Deaths',397,403,100,0.058036,?
AR,AR,2015,November,'Number of Drug Overdose Deaths',389,395,100,0.061276,?
AR,AR,2015,December,'Number of Drug Overdose Deaths',381,387,100,0.071,?
AR,AR,2016,January,'Number of Drug Overdose Deaths',378,384,100,0.071839,?
AR,AR,2016,February,'Number of Drug Overdose Deaths',379,386,100,0.072337,?
AR,AR,2016,March,'Number of Drug Overdose Deaths',363,369,100,0.075606,?
AR,AR,2016,April,'Number of Drug Overdose Deaths',372,379,100,0.078717,?
AR,AR,2016,May,'Number of Drug Overdose Deaths',376,383,100,0.079049,?
AR,AR,2016,June,'Number of Drug Overdose Deaths',369,376,100,0.078859,?
AR,AR,2016,July,'Number of Drug Overdose Deaths',378,385,100,0.075188,?
AR,AR,2016,August,'Number of Drug Overdose Deaths',383,390,100,0.078719,?
AR,AR,2016,September,'Number of Drug Overdose Deaths',379,385,100,0.068762,?
AR,AR,2016,October,'Number of Drug Overdose Deaths',372,379,100,0.075437,?
AR,AR,2016,November,'Number of Drug Overdose Deaths',378,385,100,0.074926,?
AR,AR,2016,December,'Number of Drug Overdose Deaths',386,393,100,0.070904,?
AR,AR,2017,January,'Number of Drug Overdose Deaths',384,387,100,0.073919,'Underreported due to incomplete data'
AR,AR,2017,February,'Number of Drug Overdose Deaths',380,386,100,0.083446,'Underreported due to incomplete data'
AR,AR,2017,March,'Number of Drug Overdose Deaths',384,389,100,0.07665,'Underreported due to incomplete data'
AR,AR,2017,April,'Number of Drug Overdose Deaths',386,392,100,0.07647,'Underreported due to incomplete data'
AR,AR,2017,May,'Number of Drug Overdose Deaths',383,389,100,0.079368,'Underreported due to incomplete data'
AR,AR,2017,June,'Number of Drug Overdose Deaths',398,405,100,0.07605,'Underreported due to incomplete data'
AR,AR,2017,July,'Number of Drug Overdose Deaths',395,403,100,0.076062,'Underreported due to incomplete data'
AR,AR,2017,August,'Number of Drug Overdose Deaths',406,416,100,0.06962,'Underreported due to incomplete data'
AR,AR,2017,September,'Number of Drug Overdose Deaths',413,422,100,0.072505,'Underreported due to incomplete data'
AR,AR,2017,October,'Number of Drug Overdose Deaths',410,418,100,0.069339,'Underreported due to incomplete data'
AR,AR,2017,November,'Number of Drug Overdose Deaths',411,418,100,0.07581,'Underreported due to incomplete data'
AR,AR,2017,December,'Number of Drug Overdose Deaths',425,428,100,0.056556,'Underreported due to incomplete data'
AR,AR,2018,January,'Number of Drug Overdose Deaths',427,430,100,0.058833,'Underreported due to incomplete data'
AR,AR,2018,February,'Number of Drug Overdose Deaths',425,429,100,0.055557,'Underreported due to incomplete data'
AR,AR,2018,March,'Number of Drug Overdose Deaths',430,435,100,0.068327,'Underreported due to incomplete data'
AR,AR,2018,April,'Number of Drug Overdose Deaths',424,429,100,0.068643,'Underreported due to incomplete data'
AZ,AZ,2015,January,'Number of Deaths',52342,?,100,0.326697,?
AZ,AZ,2015,February,'Number of Deaths',52371,?,100,0.34943,?
AZ,AZ,2015,March,'Number of Deaths',52826,?,100,0.342634,?
AZ,AZ,2015,April,'Number of Deaths',53025,?,100,0.341348,?
AZ,AZ,2015,May,'Number of Deaths',53225,?,100,0.336308,?
AZ,AZ,2015,June,'Number of Deaths',53462,?,100,0.334817,?
AZ,AZ,2015,July,'Number of Deaths',53685,?,100,0.324113,?
AZ,AZ,2015,August,'Number of Deaths',53907,?,100,0.293097,?
AZ,AZ,2015,September,'Number of Deaths',54058,?,100,0.27008,?
AZ,AZ,2015,October,'Number of Deaths',54122,?,100,0.249436,?
AZ,AZ,2015,November,'Number of Deaths',54421,?,100,0.224178,?
AZ,AZ,2015,December,'Number of Deaths',54853,?,100,0.19689,?
AZ,AZ,2016,January,'Number of Deaths',54917,?,100,0.160242,?
AZ,AZ,2016,February,'Number of Deaths',55755,?,100,0.139898,?
AZ,AZ,2016,March,'Number of Deaths',56319,?,100,0.154477,?
AZ,AZ,2016,April,'Number of Deaths',56436,?,100,0.173648,?
AZ,AZ,2016,May,'Number of Deaths',56522,?,100,0.201691,?
AZ,AZ,2016,June,'Number of Deaths',56648,?,100,0.261263,?
AZ,AZ,2016,July,'Number of Deaths',56865,?,100,0.332366,?
AZ,AZ,2016,August,'Number of Deaths',56960,?,100,0.372191,?
AZ,AZ,2016,September,'Number of Deaths',57051,?,100,0.394384,?
AZ,AZ,2016,October,'Number of Deaths',57277,?,100,0.46441,?
AZ,AZ,2016,November,'Number of Deaths',57252,?,100,0.520506,?
AZ,AZ,2016,December,'Number of Deaths',57215,?,100,0.618719,?
AZ,AZ,2017,January,'Number of Deaths',57221,?,100,0.618654,'Underreported due to incomplete data'
AZ,AZ,2017,February,'Number of Deaths',56609,?,100,0.625342,'Underreported due to incomplete data'
AZ,AZ,2017,March,'Number of Deaths',56269,?,100,0.627344,'Underreported due to incomplete data'
AZ,AZ,2017,April,'Number of Deaths',56454,?,100,0.616431,'Underreported due to incomplete data'
AZ,AZ,2017,May,'Number of Deaths',56721,?,100,0.595899,'Underreported due to incomplete data'
AZ,AZ,2017,June,'Number of Deaths',57013,?,100,0.561275,'Underreported due to incomplete data'
AZ,AZ,2017,July,'Number of Deaths',57215,?,100,0.519095,'Underreported due to incomplete data'
AZ,AZ,2017,August,'Number of Deaths',57310,?,100,0.49904,'Underreported due to incomplete data'
AZ,AZ,2017,September,'Number of Deaths',57531,?,100,0.48148,'Underreported due to incomplete data'
AZ,AZ,2017,October,'Number of Deaths',57694,?,100,0.403855,'Underreported due to incomplete data'
AZ,AZ,2017,November,'Number of Deaths',57852,?,100,0.362995,'Underreported due to incomplete data'
AZ,AZ,2017,December,'Number of Deaths',58440,?,100,0.254962,'Underreported due to incomplete data'
AZ,AZ,2018,January,'Number of Deaths',59581,?,100,0.271899,'Underreported due to incomplete data'
AZ,AZ,2018,February,'Number of Deaths',59891,?,100,0.27717,'Underreported due to incomplete data'
AZ,AZ,2018,March,'Number of Deaths',60181,?,100,0.279158,'Underreported due to incomplete data'
AZ,AZ,2018,April,'Number of Deaths',60293,?,100,0.293566,'Underreported due to incomplete data'
AZ,AZ,2015,January,'Number of Drug Overdose Deaths',1193,1267,100,0.326697,?
AZ,AZ,2015,February,'Number of Drug Overdose Deaths',1175,1253,100,0.34943,?
AZ,AZ,2015,March,'Number of Drug Overdose Deaths',1174,1251,100,0.342634,?
AZ,AZ,2015,April,'Number of Drug Overdose Deaths',1173,1249,100,0.341348,?
AZ,AZ,2015,May,'Number of Drug Overdose Deaths',1184,1260,100,0.336308,?
AZ,AZ,2015,June,'Number of Drug Overdose Deaths',1209,1286,100,0.334817,?
AZ,AZ,2015,July,'Number of Drug Overdose Deaths',1201,1275,100,0.324113,?
AZ,AZ,2015,August,'Number of Drug Overdose Deaths',1240,1310,100,0.293097,?
AZ,AZ,2015,September,'Number of Drug Overdose Deaths',1241,1305,100,0.27008,?
AZ,AZ,2015,October,'Number of Drug Overdose Deaths',1264,1325,100,0.249436,?
AZ,AZ,2015,November,'Number of Drug Overdose Deaths',1269,1324,100,0.224178,?
AZ,AZ,2015,December,'Number of Drug Overdose Deaths',1267,1316,100,0.19689,?
AZ,AZ,2016,January,'Number of Drug Overdose Deaths',1298,1339,100,0.160242,?
AZ,AZ,2016,February,'Number of Drug Overdose Deaths',1307,1344,100,0.139898,?
AZ,AZ,2016,March,'Number of Drug Overdose Deaths',1313,1353,100,0.154477,?
AZ,AZ,2016,April,'Number of Drug Overdose Deaths',1335,1381,100,0.173648,?
AZ,AZ,2016,May,'Number of Drug Overdose Deaths',1350,1403,100,0.201691,?
AZ,AZ,2016,June,'Number of Drug Overdose Deaths',1370,1439,100,0.261263,?
AZ,AZ,2016,July,'Number of Drug Overdose Deaths',1421,1511,100,0.332366,?
AZ,AZ,2016,August,'Number of Drug Overdose Deaths',1410,1510,100,0.372191,?
AZ,AZ,2016,September,'Number of Drug Overdose Deaths',1404,1510,100,0.394384,?
AZ,AZ,2016,October,'Number of Drug Overdose Deaths',1405,1530,100,0.46441,?
AZ,AZ,2016,November,'Number of Drug Overdose Deaths',1397,1537,100,0.520506,?
AZ,AZ,2016,December,'Number of Drug Overdose Deaths',1393,1561,100,0.618719,?
